origin,dest,t
1467,1591,1970-01-01T09:02:00Z
1513,1591,1970-01-01T09:02:40Z
1591,1467,1970-01-01T09:05:00Z
1591,1467,1970-01-01T09:05:20Z
1591,1467,1970-01-01T09:05:40Z
1591,1467,1970-01-01T09:06:00Z
1467,1591,1970-01-01T09:07:00Z
1467,1591,1970-01-01T09:07:20Z
1467,1591,1970-01-01T09:07:40Z
1568,1591,1970-01-01T09:09:20Z
1568,1591,1970-01-01T09:09:40Z
1568,1591,1970-01-01T09:10:00Z
1568,1591,1970-01-01T09:10:20Z
1562,1467,1970-01-01T09:11:20Z
1524,1562,1970-01-01T09:13:00Z
1524,1562,1970-01-01T09:13:40Z
1771,1428,1970-01-01T09:14:20Z
1600,1523,1970-01-01T09:16:40Z
1525,1529,1970-01-01T09:16:40Z
1600,1544,1970-01-01T09:16:40Z
1600,1529,1970-01-01T09:16:40Z
1600,1519,1970-01-01T09:16:40Z
1544,1529,1970-01-01T09:16:40Z
1544,1519,1970-01-01T09:16:40Z
1600,1525,1970-01-01T09:16:40Z
1600,1583,1970-01-01T09:16:40Z
1510,1519,1970-01-01T09:16:40Z
1544,1525,1970-01-01T09:16:40Z
1519,1583,1970-01-01T09:16:40Z
1519,1525,1970-01-01T09:16:40Z
1519,1529,1970-01-01T09:16:40Z
1549,1525,1970-01-01T09:16:40Z
1583,1529,1970-01-01T09:16:40Z
1510,1525,1970-01-01T09:16:40Z
1583,1525,1970-01-01T09:16:40Z
1553,1525,1970-01-01T09:16:40Z
1583,1510,1970-01-01T09:16:40Z
1606,1523,1970-01-01T09:17:00Z
1600,1510,1970-01-01T09:17:00Z
1600,1544,1970-01-01T09:17:00Z
1600,1549,1970-01-01T09:17:00Z
1600,1529,1970-01-01T09:17:00Z
1600,1519,1970-01-01T09:17:00Z
1510,1544,1970-01-01T09:17:00Z
1544,1583,1970-01-01T09:17:00Z
1544,1529,1970-01-01T09:17:00Z
1544,1519,1970-01-01T09:17:00Z
1549,1529,1970-01-01T09:17:00Z
1519,1553,1970-01-01T09:17:00Z
1523,1525,1970-01-01T09:17:00Z
1600,1553,1970-01-01T09:17:00Z
1600,1525,1970-01-01T09:17:00Z
1600,1583,1970-01-01T09:17:00Z
1510,1549,1970-01-01T09:17:00Z
1510,1529,1970-01-01T09:17:00Z
1510,1519,1970-01-01T09:17:00Z
1544,1553,1970-01-01T09:17:00Z
1544,1549,1970-01-01T09:17:00Z
1544,1525,1970-01-01T09:17:00Z
1519,1549,1970-01-01T09:17:00Z
1519,1583,1970-01-01T09:17:00Z
1519,1525,1970-01-01T09:17:00Z
1519,1529,1970-01-01T09:17:00Z
1549,1553,1970-01-01T09:17:00Z
1549,1525,1970-01-01T09:17:00Z
1549,1583,1970-01-01T09:17:00Z
1583,1529,1970-01-01T09:17:00Z
1553,1523,1970-01-01T09:17:00Z
1510,1525,1970-01-01T09:17:00Z
1583,1553,1970-01-01T09:17:00Z
1583,1525,1970-01-01T09:17:00Z
1553,1525,1970-01-01T09:17:00Z
1510,1553,1970-01-01T09:17:00Z
1583,1510,1970-01-01T09:17:00Z
1600,1510,1970-01-01T09:17:20Z
1600,1544,1970-01-01T09:17:20Z
1600,1549,1970-01-01T09:17:20Z
1600,1529,1970-01-01T09:17:20Z
1600,1519,1970-01-01T09:17:20Z
1510,1544,1970-01-01T09:17:20Z
1544,1583,1970-01-01T09:17:20Z
1544,1529,1970-01-01T09:17:20Z
1544,1519,1970-01-01T09:17:20Z
1549,1529,1970-01-01T09:17:20Z
1519,1553,1970-01-01T09:17:20Z
1523,1525,1970-01-01T09:17:20Z
1600,1553,1970-01-01T09:17:20Z
1600,1525,1970-01-01T09:17:20Z
1600,1583,1970-01-01T09:17:20Z
1510,1549,1970-01-01T09:17:20Z
1510,1529,1970-01-01T09:17:20Z
1510,1519,1970-01-01T09:17:20Z
1544,1553,1970-01-01T09:17:20Z
1544,1523,1970-01-01T09:17:20Z
1544,1549,1970-01-01T09:17:20Z
1544,1525,1970-01-01T09:17:20Z
1519,1549,1970-01-01T09:17:20Z
1519,1583,1970-01-01T09:17:20Z
1519,1523,1970-01-01T09:17:20Z
1519,1525,1970-01-01T09:17:20Z
1519,1529,1970-01-01T09:17:20Z
1549,1553,1970-01-01T09:17:20Z
1549,1525,1970-01-01T09:17:20Z
1549,1583,1970-01-01T09:17:20Z
1583,1529,1970-01-01T09:17:20Z
1553,1523,1970-01-01T09:17:20Z
1529,1525,1970-01-01T09:17:20Z
1510,1525,1970-01-01T09:17:20Z
1583,1553,1970-01-01T09:17:20Z
1583,1525,1970-01-01T09:17:20Z
1553,1525,1970-01-01T09:17:20Z
1510,1553,1970-01-01T09:17:20Z
1583,1510,1970-01-01T09:17:20Z
1600,1553,1970-01-01T09:17:40Z
1600,1523,1970-01-01T09:17:40Z
1600,1525,1970-01-01T09:17:40Z
1600,1583,1970-01-01T09:17:40Z
1510,1549,1970-01-01T09:17:40Z
1510,1529,1970-01-01T09:17:40Z
1510,1519,1970-01-01T09:17:40Z
1544,1553,1970-01-01T09:17:40Z
1544,1523,1970-01-01T09:17:40Z
1544,1549,1970-01-01T09:17:40Z
1544,1525,1970-01-01T09:17:40Z
1519,1549,1970-01-01T09:17:40Z
1519,1583,1970-01-01T09:17:40Z
1519,1523,1970-01-01T09:17:40Z
1519,1525,1970-01-01T09:17:40Z
1519,1529,1970-01-01T09:17:40Z
1549,1553,1970-01-01T09:17:40Z
1549,1523,1970-01-01T09:17:40Z
1549,1525,1970-01-01T09:17:40Z
1549,1583,1970-01-01T09:17:40Z
1583,1529,1970-01-01T09:17:40Z
1553,1523,1970-01-01T09:17:40Z
1523,1529,1970-01-01T09:17:40Z
1529,1525,1970-01-01T09:17:40Z
1510,1525,1970-01-01T09:17:40Z
1583,1553,1970-01-01T09:17:40Z
